uniqueId,name,nodeName,submittedAt,updated,started,submitterEmail,updaterEmail,displayName,location,latitude,mapLatitude,longitude,mapLongitude,mapZoom,acresBurned,county,fuelType,percentContained,costsToDate,controlStatement,conditionStatement,searchDescription,searchKeywords,externalIncidentLink,adminUnit,deleted,extinguished,archiveYear,public,active,featured,calFireIncident,final,notificationDesired,expectedContainment,evacuationZoneMap,cameraIds,structuresDestroyed,structuresDamaged,structuresThreatened,structuresEvacuated,helicopters,engines,dozers,waterTenders,airTankers,otherAssigned,personnelInvolved,crewsInvolved,civilianInjuries,civilianFatalities,firefighterInjuries,firefighterFatalities,damageInspectionMap,complexIncidentUrls,url,uniqueName,status,id,counties,geometry
abfed7a3-794a-4294-9852-43176dcbc18a,Palisades Fire,Palisades Fire - 2025-01-07,2025-01-07 11:06:45.523000+00:00,2025-01-16 01:55:06.698000+00:00,2025-01-07 10:30:00+00:00,jourdan.shuluk@fire.ca.gov,,Palisades Fire,"Southeast of Palisades Drive, Pacific Palisades",34.07022,,-118.54453,,,23713.0,,,21.0,,,"<p>Today, the Santa Ana winds are expected to diminish but humidity will remain at low levels, therefore, the <strong>RED FLAG WARNING</strong> will remain in effect till 6:00PM this evening. Firefighters continue to aggressively engage in fire suppression. Building and strengthening containment lines while providing for operational and personnel safety. Additionally, there are over 2,000 CAL Guard members involved in the firefight. </p>
<p><strong>Please be advised:</strong> An inaccurate social media post is currently circulating on Facebook. The post claims that individuals can come to California to join a clean-up crew in areas affected by recent LA wildfires. This information is false, and we would like to clarify that there is no such opportunity available. We kindly ask that you refrain from calling to inquire about this.</p>
<p>Join the Effort: <a href=""https://www.laworks.com/2025fires"">How You Can Help During the Fires</a></p>",,,,"Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit, Los Angeles County Fire Department, Los Angeles City Fire Department and Los Angeles Police Department",0.0,,2025.0,1.0,1.0,1.0,1.0,0.0,0.0,,,"Axis-Wilshire2,Axis-TopangaCanyon1",2191.0,397.0,12250.0,,44.0,524.0,66.0,59.0,,,5104.0,113.0,3.0,8.0,,,https://arcg.is/1vnjra1,[ ],/incidents/2025/1/7/palisades-fire/,/incidents/2025/1/7/palisades-fire/,Active,4318.0,"[ { ""id"": 19, ""uniqueId"": ""fcd2f573-c358-46bd-a58c-244d865c019f"", ""name"": ""Los Angeles"", ""code"": ""LAN"" } ]",POINT (-118.54453 34.07022)
dbfa574e-1b10-4467-b5e5-7d1c06ebc8dc,Eaton Fire,Eaton Fire ,2025-01-07 18:49:42.353000+00:00,2025-01-15 16:07:36.507000+00:00,2025-01-07 18:18:00+00:00,ed.fletcher@fire.ca.gov,sean.mcfadden@fire.ca.gov,Eaton Fire,"Near Altadena Drive and Midwick Drive, Altadena/Pasadena",34.203483,,-118.069155,,12.0,14117.0,,,45.0,,,"<p>Today’s efforts are focused on mop up and reinforcing containment lines to ensure perimeter control. Hazard trees along roadways are being mitigated to protect both firefighters and the public. The fire is expected to remain within its current footprint, with aircraft continuing to support firefighters with retardant drops in inaccessible terrain. As repopulation efforts progress, the focus remains on ensuring that people are brought back into a safe and secure environment. Contingency resources are strategically prepositioned and ready to respond throughout communities along the fire’s western edge to due to the Santa Ana wind conditions.</p>
<p>Urban Search and Rescue efforts, infrastructure assessments, hazardous materials response, and damage assessment operations are ongoing for the communities on the southern edge of the fire. These operations are unprecedented in size and scale and are critical for mitigating existing hazards, confirming missing persons reports, and obtaining accurate number of structures damaged/destroyed.</p>
<p>A Red Flag Warning has been extended through 6 p.m. today. Santa Ana winds will gradually subside throughout the day, though very dry conditions are expected to persist through Thursday. Calmer and more humid weather is anticipated by the weekend.</p>
<p>Virtual Community Meeting Wednesday, January 15th 4:00 p.m.: Eaton Fire officials will host a virtual community meeting and provide an update on the current fire situation, address questions, and discuss recovery.</p>
<p>Please submit your questions in advance via email at: 2025.eaton@firenet.gov<br />The meeting will be streamed live on YouTube: <a href=""https://www.youtube.com/@LosAngelesCountyFD"">https://www.youtube.com/@LosAngelesCountyFD</a></p>
<p>Please be advised: An inaccurate social media post is currently circulating on Facebook. The post claims that individuals can come to California to join a clean-up crew in areas affected by recent LA wildfires. This information is false, and we would like to clarify that there is no such opportunity available. We kindly ask that you refrain from calling in to inquire about this. <br /><br />How You Can Help During the Fires: <a href=""https://recovery.lacounty.gov/"">https://recovery.lacounty.gov/</a></p>
<p>*Fatalities and Damage inspection numbers may change</p>",,,,"Los Angeles County Fire Department, Pasadena Fire, and the United States Forest Services are in unified command ",0.0,,2025.0,1.0,1.0,1.0,1.0,0.0,0.0,,,"Axis-VerdugoPeak2,Axis-PineMountainLA1",4627.0,486.0,28828.0,,16.0,274.0,21.0,77.0,,,3392.0,57.0,,16.0,6.0,,https://arcg.is/nqWXD0,[ ],/incidents/2025/1/7/eaton-fire/,/incidents/2025/1/7/eaton-fire/,Active,4319.0,"[ { ""id"": 19, ""uniqueId"": ""fcd2f573-c358-46bd-a58c-244d865c019f"", ""name"": ""Los Angeles"", ""code"": ""LAN"" } ]",POINT (-118.069155 34.203483)
ed36cf94-75d8-43f6-913a-d15646907311,Hurst Fire,Hurst Fire,2025-01-07 22:33:41.380000+00:00,2025-01-16 01:26:00.713000+00:00,2025-01-07 22:29:30+00:00,Evin.VanOutryve@fire.ca.gov,,Hurst Fire,"Near Diamond Road, Sylmar",34.32533,,-118.478134,,,799.0,,,98.0,,,"<p>Firefighting efforts continue to concentrate on building and improving <span>containment lines with a focus on public safety and structure protection. </span>Residents returning home are advised to use extreme caution. <span data-teams=""true"">The Angeles National Forest is in unified command with Los Angeles County Fire Department and Los Angeles City Fire Department.</span></p>",,,,"Los Angeles City Fire Department, United States Forest Service, Los Angeles Fire Department, Los Angles County Sheriff",0.0,,2025.0,1.0,1.0,1.0,0.0,0.0,0.0,,,Axis-MagicMountain1,,,,,,,,,,,300.0,,,,,,,[ ],/incidents/2025/1/7/hurst-fire/,/incidents/2025/1/7/hurst-fire/,Active,4320.0,"[ { ""id"": 19, ""uniqueId"": ""fcd2f573-c358-46bd-a58c-244d865c019f"", ""name"": ""Los Angeles"", ""code"": ""LAN"" } ]",POINT (-118.478134 34.32533)
11055429-59f4-49dc-b759-a0c0d1225efc,Auto Fire,Auto Fire - 2025-01-13,2025-01-13 21:31:51.537000+00:00,2025-01-15 17:33:29.487000+00:00,2025-01-13 21:25:00+00:00,Evin.VanOutryve@fire.ca.gov,ed.fletcher@fire.ca.gov,Auto Fire,"Near Auto Center Drive, Ventura",34.23661,,-119.20224,,,61.0,,,85.0,,,<p>Forward progress has been stopped.</p>,,,,Ventura County Fire Department,0.0,,2025.0,1.0,1.0,1.0,0.0,0.0,0.0,2025-01-14 00:00:00+00:00,,Axis-WillisPeak1,,,,,,,,,,,,,,,,,,[ ],/incidents/2025/1/13/auto-fire/,/incidents/2025/1/13/auto-fire/,Active,4331.0,"[ { ""id"": 56, ""uniqueId"": ""3d99a14a-f9e0-4878-aaea-5cab45d834ec"", ""name"": ""Ventura"", ""code"": ""VEN"" } ]",POINT (-119.20224 34.23661)
6c143c7e-d33c-4d0b-b434-d33a13705328,Little Mountain Fire,Little Mountain Fire - 2025-01-15,2025-01-15 14:47:19.250000+00:00,2025-01-15 18:03:42.817000+00:00,2025-01-15 14:44:41+00:00,sean.mcfadden@fire.ca.gov,lianna.lee@fire.ca.gov,Little Mountain Fire,"Near Little Mountain Drive, San Bernardino",34.154384,,-117.32064,,,34.0,,,,,,"<p><span data-teams=""true"">Forward rate of progress has been stopped.</span></p>",,,,San Bernardino County Fire Department,0.0,,2025.0,1.0,1.0,0.0,1.0,0.0,0.0,,,Axis-LittleMountain1,,,,,,,,,,,,,,,,,,[ ],/incidents/2025/1/15/little-mountain-fire/,/incidents/2025/1/15/little-mountain-fire/,Active,4333.0,"[ { ""id"": 36, ""uniqueId"": ""ccc4ca24-4906-4b16-8a0d-f805c7219b3c"", ""name"": ""San Bernardino"", ""code"": ""SBR"" } ]",POINT (-117.32064 34.154384)
b5bc4820-a0d3-ef11-8eea-001dd804ee2f,LAC-020849,,,2025-01-16 00:23:47+00:00,2025-01-16 00:19:44+00:00,,,LAC-020849,Los Angeles,33.9381,,-118.3683,,,0.0,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-118.3683 33.93809999999999)
1458a1c2-67d3-ef11-8eea-001dd8094b72,VEG/JR/82A,,,2025-01-15 17:40:20+00:00,2025-01-15 03:51:00+00:00,,,VEG/JR/82A,San Bernardino,34.557152,,-117.288734,,,0.5,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.288734 34.557152)
4859e5d9-7bd3-ef11-8eea-001dd804efd1,CACTUS AV MOVA,,,2025-01-15 20:07:47+00:00,2025-01-15 19:51:57+00:00,,,CACTUS AV MOVA,"26600 CACTUS AV ,MOVA",33.910057,,-117.19841,,,0.0,RIVERSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.19840999999998 33.910057)
4d672ed8-5cd3-ef11-8eea-001dd8308e26,LAC-020244,,,2025-01-15 16:22:08+00:00,2025-01-15 16:17:09+00:00,,,LAC-020244,Los Angeles,34.81347,,-118.29024,,,0.0,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-118.29024 34.81347)
a6fb2766-99d3-ef11-8eea-001dd8051141,LAC-020792,,,2025-01-15 23:35:35+00:00,2025-01-15 23:31:03+00:00,,,LAC-020792,Los Angeles,33.92717,,-118.23906,,,0.0,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-118.23906 33.92717)
